Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
01/01/23 06:00,0.22882,0.303392,0.33932499999999999,0.28098099999999998,0.30293199999999998,0.19500000000000001,0.31,,0.23899999999999999,0.182,0.21199999999999999,0.183,0.16200000000000001,0.377,0.28499999999999998,0.35899999999999999,0.31,0.19431999999999999,0.24623999999999999,0.11867,0.31675999999999999,1.4052,0.29483999999999999,0.41544999999999999,0.14779999999999999,0.23499999999999999,0.30294599999999999,0.19995399999999999,0.217838,0.249,0.32894000000000001,,0.186,0.3,0.26689000000000002,0.31439,,0.26198300000000002,0.61399999999999999,0.2021,0.23719000000000001,0.38824999999999998,0.34584999999999999,0.34733999999999998,0.41438000000000003,0.35328999999999999,0.32483000000000001,0.36364600000000002,0.21326300000000001,0.32625100000000001,0.18123,0.28589999999999999,0.20879,0.27966999999999997,0.10305,0.12268
01/01/23 07:00,0.224524,0.31717299999999998,0.34037200000000001,0.25037900000000002,0.301012,0.186,0.316,,0.215,0.17399999999999999,0.192,0.17699999999999999,0.16500000000000001,0.372,0.28799999999999998,0.35499999999999998,0.3,0.18534999999999999,0.24607999999999999,0.12188,0.31852999999999998,1.57239,0.37145,0.39517000000000002,0.16844999999999999,0.23208999999999999,0.265511,0.19295999999999999,0.209229,0.246,0.32878000000000002,,0.22,0.29199999999999998,0.26291999999999999,0.29443999999999998,,0.25339200000000001,0.56399999999999995,0.24234,0.23669000000000001,0.40200999999999998,0.28333000000000003,0.27533999999999997,0.29751,0.28255000000000002,0.27509,0.339978,0.21886900000000001,0.32493899999999998,0.17094000000000001,0.28865000000000002,0.20987,0.27306000000000002,0.10696,0.12540000000000001
01/01/23 08:00,0.237204,0.32386199999999998,0.33273900000000001,0.28739300000000001,0.300396,0.17599999999999999,0.29299999999999998,,0.13900000000000001,0.183,0.191,0.18099999999999999,0.16,0.37,0.29499999999999998,0.35099999999999998,0.30499999999999999,0.19205,0.23171,0.13194,0.31947999999999999,1.31044,0.43863999999999997,0.39255000000000001,0.27740999999999999,0.21864,0.25607600000000003,0.181917,0.19962099999999999,0.23899999999999999,0.34061999999999998,,0.26600000000000001,0.28199999999999997,0.27051999999999998,0.28992000000000001,,0.247776,0.6,0.27131,0.26493,0.32022,0.20652000000000001,0.26330999999999999,0.27796999999999999,0.25044,0.26701000000000003,0.36450300000000002,0.21831100000000001,0.32768999999999998,0.16424,0.27087,0.20499999999999999,0.26552999999999999,0.10946,0.12534000000000001
01/01/23 09:00,0.25196800000000003,0.33097700000000002,0.33364100000000002,0.24584900000000001,0.300703,0.17699999999999999,0.28199999999999997,,0.115,0.19900000000000001,0.20100000000000001,0.187,0.159,0.39300000000000002,0.28399999999999997,0.374,0.32900000000000001,0.18809999999999999,0.23724999999999999,0.14398,0.33413999999999999,0.90212999999999999,0.26273999999999997,0.39432,0.29514000000000001,0.21648000000000001,0.23664099999999999,0.18087300000000001,0.19601199999999999,0.20599999999999999,0.34719,,0.27300000000000002,0.27400000000000002,0.27091999999999999,0.28876000000000002,,0.24237900000000001,0.52300000000000002,0.29437000000000002,0.27637,0.27205000000000001,0.20175999999999999,0.27555000000000002,0.27392,0.26801000000000003,0.26915,0.317938,0.21251100000000001,0.31930500000000001,0.17219000000000001,0.27073999999999998,0.20832000000000001,0.26052999999999998,0.11078,0.11699
01/01/23 10:00,0.245063,0.33064500000000002,0.34240900000000002,0.26545299999999999,0.29491499999999998,0.18099999999999999,0.27300000000000002,,0.11899999999999999,0.187,0.20599999999999999,0.189,0.16,0.39500000000000002,0.29399999999999998,0.40100000000000002,0.378,0.19666,0.24915000000000001,0.16442000000000001,0.31842999999999999,1.09697,0.27427000000000001,0.41288000000000002,0.34589999999999999,0.21914,0.21920700000000001,0.18182999999999999,0.197403,0.20300000000000001,0.34600999999999998,,0.20300000000000001,0.27200000000000002,0.24590000000000001,0.28660000000000002,,0.24183399999999999,0.58099999999999996,0.20380999999999999,0.28342000000000001,0.27017000000000002,0.21160000000000001,0.26447999999999999,0.30581999999999998,0.28566999999999998,0.26902999999999999,0.33574100000000001,0.207848,0.320025,0.17918000000000001,0.26889000000000002,0.21407000000000001,0.25489000000000001,0.10947,0.12972
01/01/23 11:00,0.22605800000000001,0.34135900000000002,0.353883,0.26762799999999998,0.30360300000000001,0.191,0.28100000000000003,,0.13400000000000001,0.20799999999999999,0.22,0.189,0.155,0.39800000000000002,0.28699999999999998,0.39800000000000002,0.39500000000000002,0.19903999999999999,0.25764999999999999,0.15257999999999999,0.32030999999999998,1.25363,0.35837999999999998,0.43824000000000002,0.33318999999999999,0.21786,0.20477200000000001,0.178786,0.196795,0.189,0.33711000000000002,,0.19500000000000001,0.26600000000000001,0.25019000000000002,0.29652000000000001,,0.25303199999999998,0.72899999999999998,0.21260000000000001,0.26001999999999997,0.24054,0.21487999999999999,0.23369000000000001,0.27650000000000002,0.28071000000000002,0.29398999999999997,0.32955099999999998,0.214147,0.32186799999999999,0.17695,0.26717999999999997,0.20727000000000001,0.25996999999999998,0.10947,0.13161999999999999
01/01/23 12:00,0.22087000000000001,0.32582499999999998,0.35806500000000002,0.29746099999999998,0.31574099999999999,0.20399999999999999,0.29899999999999999,,0.14000000000000001,0.222,0.215,0.20499999999999999,0.157,0.4,0.28799999999999998,0.40100000000000002,0.37,0.19686000000000001,0.25650000000000001,0.14580000000000001,0.32123000000000002,0.83865000000000001,0.33848,0.43684000000000001,0.28454000000000002,0.22014,0.20033699999999999,0.18474299999999999,0.198186,0.19500000000000001,0.33672000000000002,,0.184,0.26700000000000002,0.25929000000000002,0.29421000000000003,,0.25279600000000002,0.61799999999999999,0.2697,0.26729999999999998,0.23502000000000001,0.23930000000000001,0.24192,0.26532,0.2336,0.26084000000000002,0.34931000000000001,0.20355799999999999,0.32613900000000001,0.18861,0.27227000000000001,0.21090999999999999,0.26416000000000001,0.11634,0.13763
01/01/23 01:00,0.22833000000000001,0.32405600000000001,0.367927,0.34071499999999999,0.333395,0.20699999999999999,0.33500000000000002,,0.128,0.21299999999999999,0.20599999999999999,0.19800000000000001,0.158,0.41,0.30599999999999999,0.40400000000000003,0.376,0.20291999999999999,0.29925000000000002,0.14554,0.33217000000000002,0.77947,0.33002999999999999,0.40171000000000001,0.26361000000000001,0.22581000000000001,0.21590200000000001,0.181699,0.20957700000000001,0.23300000000000001,0.32612000000000002,,0.20300000000000001,0.28499999999999998,0.24748999999999999,0.29748999999999998,,0.27958899999999998,0.58599999999999997,0.36715999999999999,0.28560000000000002,0.23846000000000001,0.23677000000000001,0.24195,0.24232999999999999,0.23766999999999999,0.34283000000000002,0.32139899999999999,0.20894199999999999,0.32541399999999998,0.18262999999999999,0.28164,0.20796000000000001,0.27096999999999999,0.16217000000000001,0.14566999999999999
01/01/23 02:00,0.24571100000000001,0.31815900000000003,0.37274099999999999,0.37029499999999999,0.33210600000000001,0.23499999999999999,0.35099999999999998,,0.13200000000000001,0.216,0.2,0.20899999999999999,0.161,0.41399999999999998,0.3,0.39500000000000002,0.376,0.20430000000000001,0.26644000000000001,0.14888999999999999,0.33764,1.0712299999999999,0.28453000000000001,0.40450000000000003,0.28018999999999999,0.23236999999999999,0.21446699999999999,0.194656,0.21496799999999999,0.24199999999999999,0.32177,,0.219,0.28499999999999998,0.24882000000000001,0.31191000000000002,,0.260465,0.54300000000000004,0.21296999999999999,0.27711999999999998,0.22031000000000001,0.27484999999999998,0.23632,0.25119999999999998,0.21969,0.29548999999999997,0.34719899999999998,0.20716499999999999,0.32911499999999999,0.19372,0.29086000000000001,0.21329999999999999,0.28025,0.21961,0.15212999999999999
01/01/23 03:00,0.24212400000000001,0.33884599999999998,0.374224,0.455461,0.339111,0.254,0.40500000000000003,,0.14199999999999999,0.23400000000000001,0.193,0.20499999999999999,0.158,0.41499999999999998,0.3,0.40600000000000003,0.38500000000000001,0.22103,0.28541,0.14903,0.34332000000000001,1.4706699999999999,0.29258000000000001,0.43980000000000002,0.27256999999999998,0.24579999999999999,0.23003299999999999,0.19961200000000001,0.26328000000000001,0.29199999999999998,0.32357000000000002,,0.216,0.316,0.24898000000000001,0.33474999999999999,,0.29376400000000003,0.54,0.23491999999999999,0.28295999999999999,0.23233999999999999,0.31707999999999997,0.23239000000000001,0.28116999999999998,0.21690999999999999,0.25630999999999998,0.35608899999999999,0.212869,0.33072499999999999,0.20452000000000001,0.29920000000000002,,0.29292000000000001,0.34786,0.14957999999999999
