Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
02/25/23 04:00,0.45855000000000001,0.68317000000000005,0.21975,0.16200000000000001,0.45477000000000001,0.6,0.2,0.9,0.7,0.9,,0.69,1.3,0.54,0.45,0.92,0.31652999999999998,1.7946,0.11328000000000001,0.82350000000000001,0.11541999999999999,0.50600999999999996,0.17979000000000001,0.28100000000000003,0.66613,0.57067000000000001,0.26040999999999997,0.75814000000000004,,0.8,0.52,0.6,0.6,0.4,1.5168900000000001,0.86741999999999997,0.60387000000000002,0.50883,0.47,,0.71460000000000001,0.95438000000000001,0.55559999999999998,0.27772999999999998,0.64502999999999999,1.6,0.46,0.7,0.50156999999999996,1.2036899999999999,0.59543999999999997,0.42779,0.50661,0.69501999999999997,0.84136,1.0501199999999999,0.61760000000000004,0.32022,1.44957,1.0409900000000001,1.5833200000000001,6.1859999999999998E-2,0.81442999999999999,0.15681,0.76900999999999997,0.55728
02/25/23 05:00,0.42886000000000002,0.62000999999999995,8.6309999999999998E-2,0.1386,0.44470999999999999,0.6,0.3,0.7,0.6,0.8,0.39,0.69,1.03,0.51,0.39,0.65,0.29160000000000003,1.6686000000000001,0.10656,0.67454999999999998,0.10413,0.44440000000000002,0.16542000000000001,0.11700000000000001,0.56469999999999998,0.85119999999999996,0.22742000000000001,0.76693,,0.8,0.4,0.5,0.6,0.4,0.78361000000000003,0.73116000000000003,0.56166000000000005,0.43012,0.4,0.60911999999999999,0.70379999999999998,0.84170999999999996,0.57591000000000003,0.39967999999999998,0.61560000000000004,1.3,0.39,0.6,0.48599999999999999,0.61326000000000003,0.42426000000000003,0.41683999999999999,0.44982,0.49220999999999998,0.60806000000000004,0.51136000000000004,0.37281999999999998,0.23705999999999999,1.3959299999999999,0.94835000000000003,1.31993,0.06,0.73546,0.14824999999999999,1.0492699999999999,0.46817999999999999
02/25/23 06:00,0.40887000000000001,0.60621999999999998,9.1829999999999995E-2,0.1134,0.44389000000000001,0.6,0.3,0.7,0.7,1,0.43,0.57499999999999996,0.98,0.5,0.38,0.5,,0.56232000000000004,9.7479999999999997E-2,0.69435000000000002,0.10159,0.4254,0.18246999999999999,0.38600000000000001,0.18362999999999999,0.81528999999999996,0.23916999999999999,0.53103,,0.7,0.39,0.5,0.5,0.4,0.59001999999999999,0.55962000000000001,0.51161999999999996,0.33792,0.53,0.57672000000000001,0.7137,0.72655999999999998,0.54710999999999999,0.41121000000000002,0.61856999999999995,1.1000000000000001,0.38,0.3,0.49598999999999999,0.60538000000000003,0.35136000000000001,0.22266,0.32525999999999999,0.78547999999999996,0.56227000000000005,0.26929999999999998,0.27089999999999997,0.35099999999999998,1.33331,0.93349000000000004,1.1662999999999999,5.808E-2,0.68145999999999995,0.13847000000000001,0.68701000000000001,0.50382000000000005
02/25/23 07:00,0.41363,0.62997999999999998,0.35532000000000002,0.1053,0.46054,0.7,0.3,0.8,0.7,1.1000000000000001,0.31,0.57499999999999996,0.89,0.69,0.35,0.47,0.28349999999999997,1.98468,8.7050000000000002E-2,0.6885,9.9540000000000003E-2,0.43865999999999999,0.23959,0.36199999999999999,0.14779999999999999,0.68928999999999996,0.28483000000000003,0.53390000000000004,,0.5,0.38,0.5,0.5,0.4,0.54981000000000002,0.50292000000000003,0.38651999999999997,0.32962000000000002,0.5,0.68525999999999998,0.68220000000000003,0.48557,0.67301999999999995,0.51739000000000002,0.68120999999999998,1,0.37,0.2,0.41372999999999999,0.68664000000000003,0.33714,0.25689000000000001,0.24984000000000001,0.57896999999999998,0.66976999999999998,0.27026,0.23143,0.39582000000000001,1.3412200000000001,1.0042,1.1492599999999999,0.03,0.63890999999999998,0.12797,0.68886999999999998,0.4698
02/25/23 08:00,0.47033000000000003,0.65308999999999995,0.27400999999999998,0.13769999999999999,0.43119000000000002,0.7,0.3,0.8,0.7,1.2,,0.46,0.9,0.55000000000000004,0.36,0.63,0.29907,3.2121,0.10278,0.73845000000000005,0.11323,0.42341000000000001,0.26506000000000002,0.27400000000000002,0.21892,0.73267000000000004,0.30686000000000002,0.69869999999999999,,0.5,0.38,0.5,0.6,0.3,0.60057000000000005,0.53388000000000002,0.35610000000000003,0.28405999999999998,0.56000000000000005,0.49409999999999998,0.76229999999999998,0.53480000000000005,0.75690000000000002,0.77002000000000004,0.76104000000000005,0.9,0.32,0.3,0.44280000000000003,0.58870999999999996,0.41004000000000002,0.59211000000000003,0.30402000000000001,0.51273999999999997,0.64015,0.31586999999999998,0.28249000000000002,0.37691999999999998,1.3789199999999999,1.04396,1.2098,7.6280000000000001E-2,0.65829000000000004,0.12222,0.92835000000000001,0.53541000000000005
02/25/23 09:00,0.47671000000000002,0.91573000000000004,0.10091,0.153,0.51671,1,0.3,1.1000000000000001,0.7,1.3,0.49,0.46,1.0900000000000001,0.59,0.38,0.65,0.32400000000000001,2.9358,0.20463999999999999,0.78795000000000004,0.15015999999999999,0.50663000000000002,0.32751999999999998,0.52600000000000002,0.28621000000000002,0.65400999999999998,0.32338,0.81342999999999999,,0.6,0.39,0.7,0.5,0.4,0.49025999999999997,0.58284000000000002,0.26349,0.24093000000000001,0.57999999999999996,0.57186000000000003,,0.43626999999999999,1.11483,0.56730999999999998,1.0081800000000001,0.9,0.46,0.7,0.38879999999999998,0.53473999999999999,0.54315000000000002,0.49496000000000001,0.20621999999999999,0.26729999999999998,0.65415000000000001,0.24823999999999999,0.33823999999999999,0.67554000000000003,1.3974800000000001,1.9167099999999999,1.7448399999999999,0.1275,0.67435999999999996,0.13117000000000001,0.73397000000000001,0.53622000000000003
02/25/23 10:00,0.57896000000000003,0.95004,9.375E-2,0.15479999999999999,0.62856999999999996,1.2,0.3,1.4,0.9,1.3,,0.46,0.85,0.75,0.4,0.62,0.33956999999999998,2.6506799999999999,0.14771999999999999,0.82979999999999998,0.16026000000000001,0.51637999999999995,0.24221999999999999,0.39200000000000002,0.36809999999999998,0.58911999999999998,0.30060999999999999,1.0504100000000001,,0.7,0.56000000000000005,0.7,0.5,0.5,0.53093000000000001,0.56664000000000003,0.22803000000000001,0.23371,1.01,0.78083999999999998,,0.53680000000000005,1.1096999999999999,0.51387000000000005,0.98523000000000005,0.9,0.42,0.9,0.41247,0.52471000000000001,0.48803999999999997,0.36648999999999998,,0.32940000000000003,0.74116000000000004,0.24263999999999999,0.27481,0.43578,1.4351499999999999,1.8578399999999999,1.7557199999999999,5.8310000000000001E-2,0.65008999999999995,0.15225,3.1190500000000001,0.56772
02/25/23 11:00,0.58692,1.0485,0.11039,0.18360000000000001,0.69144000000000005,1.5,0.4,1.2,0.9,1,0.34,0.34499999999999997,0.95,0.71,0.4,0.79,0.40184999999999998,2.4866999999999999,0.14896999999999999,0.92249999999999999,0.15984000000000001,0.46961000000000003,0.16231999999999999,0.309,0.38453999999999999,0.66057999999999995,,0.90781999999999996,,0.6,0.49,0.7,0.4,0.6,0.44985000000000003,0.79488000000000003,0.22650000000000001,0.21740999999999999,1.1200000000000001,0.67068000000000005,0.53280000000000005,0.54044000000000003,0.90042999999999995,0.80369000000000002,0.98307,0.9,0.4,0.3,0.45296999999999998,0.36641000000000001,0.44657999999999998,0.34378999999999998,0.10290000000000001,0.38231999999999999,0.93767,0.19342000000000001,0.32536999999999999,0.37853999999999999,1.55813,1.46841,1.40096,0.10983,0.62492999999999999,0.18325,1.60955,0.69093000000000004
02/25/23 12:00,0.60568999999999995,1.06281,0.10795,0.21870000000000001,0.65064,1.6,0.5,1.2,1,1,,0.34499999999999997,0.7,0.97,0.46,0.8,0.44424000000000002,2.33352,0.14738000000000001,1.7559,0.18576999999999999,0.44624999999999998,0.16242999999999999,0.249,0.17779,0.50668000000000002,,0.90680000000000005,,0.6,0.48,0.6,0.5,0.5,0.41738999999999998,0.97938000000000003,0.32721,0.25197999999999998,0.98,0.59940000000000004,0.59309999999999996,0.60187999999999997,0.7843,0.89144999999999996,1.0154700000000001,0.9,0.4,0.3,0.42992999999999998,0.51136000000000004,0.46367999999999998,0.29355999999999999,0.21654000000000001,0.40966999999999998,1.4805299999999999,0.31391000000000002,0.33611999999999997,0.45900000000000002,1.69797,1.3592599999999999,1.11771,9.7500000000000003E-2,0.69359999999999999,0.20702999999999999,1.5142500000000001,0.79622999999999999
02/25/23 01:00,0.67371999999999999,1.1040099999999999,0.11942999999999999,0.21149999999999999,0.61582999999999999,1.5,0.4,1.1000000000000001,1.1000000000000001,1,,0.34499999999999997,0.71,0.78,0.45,0.75,0.44864999999999999,2.70756,0.19242000000000001,1.1209499999999999,0.24185000000000001,0.44790000000000002,0.15193000000000001,,0.15520999999999999,0.54862,,0.79549999999999998,,0.5,0.53,0.6,0.4,0.5,0.45029999999999998,0.61451999999999996,0.28517999999999999,0.25441999999999998,0.91,0.47627999999999998,0.62114999999999998,0.54981999999999998,0.99395999999999995,0.79666000000000003,1.00359,1,0.39,0.2,0.43676999999999999,0.58484999999999998,0.46322999999999998,0.38101000000000002,0.39095999999999997,0.44195000000000001,0.96472999999999998,0.31047000000000002,0.30478,0.71496000000000004,1.7633399999999999,1.3611800000000001,1.3520399999999999,0.11022,0.76178000000000001,0.18468999999999999,1.61635,0.80757000000000001
