Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
02/24/23 11:00,0.77393999999999996,1.2722,0.18414,0.21870000000000001,0.58984000000000003,1.2,0.4,0.9,0.9,1.6,,0.69,0.82,1.48,1.06,1.6,0.60507,1.9494,0.19033,0.70830000000000004,0.25130000000000002,1.3267500000000001,0.38923000000000002,0.74099999999999999,0.34817999999999999,1.02949,0.52876999999999996,1.016,,1.8,1.21,0.9,1.6,1.5,1.8673500000000001,3.2054399999999998,1.63104,1.28521,2.08,1.1194200000000001,0.80010000000000003,0.92620999999999998,0.52281,0.40067000000000003,0.76444999999999996,0.7,1.22,1.6,0.83367000000000002,1.2186600000000001,1.20888,1.2383999999999999,0.76275000000000004,1.03806,2.22723,0.68681999999999999,0.80959999999999999,1.161,2.6120999999999999,,1.61554,0.47693999999999998,1.2748600000000001,0.17039000000000001,1.62754,0.69137999999999999
02/24/23 12:00,0.68111999999999995,1.3884799999999999,0.16950000000000001,0.21959999999999999,0.61363000000000001,1,0.4,0.9,0.8,1.3,1.23,0.69,0.81,0.97,0.59,1.5,0.42930000000000001,2.1106799999999999,0.12225,0.6885,0.23912,1.1796800000000001,0.36721999999999999,0.66,0.31763000000000002,1.0177,0.45685999999999999,0.83511000000000002,,1.5,0.84,0.8,1.5,1.4,1.3540099999999999,2.2662,1.3815599999999999,1.4648300000000001,2.11,1.10808,0.78137999999999996,0.82028000000000001,0.50588999999999995,0.47869,0.75329999999999997,1.7,1.26,1.4,0.79505999999999999,1.5367299999999999,1.18062,1.5679000000000001,0.75465000000000004,0.98626000000000003,2.0318900000000002,0.67681999999999998,0.74887999999999999,0.88505999999999996,2.2974999999999999,,1.7235799999999999,0.31883,1.1035299999999999,0.14391999999999999,1.4675400000000001,0.72684000000000004
02/24/23 01:00,0.73009000000000002,1.27982,0.23330999999999999,0.21060000000000001,0.67074,0.9,0.4,0.9,0.7,0.9,,0.69,0.8,0.96,0.57999999999999996,1.82,0.43865999999999999,1.7091000000000001,9.9640000000000006E-2,0.74655000000000005,0.26304,1.0519099999999999,0.35482999999999998,,0.29854999999999998,0.86236000000000002,0.46849000000000002,1.0333600000000001,,1.4,0.78,0.8,1.4,0.9,1.4310400000000001,1.22922,,1.3394699999999999,2.0099999999999998,1.11294,,0.86606000000000005,0.53900999999999999,1.0073799999999999,0.73709999999999998,2.2000000000000002,1.1100000000000001,1.5,0.80874000000000001,0.90086999999999995,1.01709,1.4308099999999999,0.63044999999999995,0.97543000000000002,2.02278,0.63817999999999997,0.73594000000000004,0.94769999999999999,2.0213299999999998,,1.3430500000000001,0.16122,0.94401999999999997,0.12203,0.87424000000000002,0.72377999999999998
02/24/23 02:00,0.76632,1.4454899999999999,0.25223000000000001,0.20069999999999999,0.53815000000000002,1,0.5,0.9,0.8,1.1000000000000001,,0.69,0.78,1.1000000000000001,0.56999999999999995,1.81,0.42182999999999998,3.6712799999999999,0.18454999999999999,0.91754999999999998,0.28261999999999998,0.99072000000000005,0.36825999999999998,0.72299999999999998,0.26079000000000002,0.87702999999999998,0.47981000000000001,0.77883999999999998,,0.9,0.64,0.6,1.5,0.8,1.6068899999999999,0.84492,1.0931999999999999,1.8584799999999999,1.76,1.09836,0.90944999999999998,0.88546000000000002,0.65976000000000001,0.54376000000000002,0.72602999999999995,2.2000000000000002,1.05,1.1000000000000001,0.87417,1.24088,0.96038999999999997,1.1143099999999999,0.61829999999999996,1.06819,1.57447,0.67435999999999996,0.74951000000000001,0.83052000000000004,1.8212299999999999,0.64698999999999995,1.29962,0.08,0.83296999999999999,0.12758,0.77392000000000005,0.76139999999999997
02/24/23 03:00,1.03271,1.0278700000000001,0.29726000000000002,0.2034,0.68689,1.2,0.6,1,0.8,1,0.97,0.69,0.85,1.04,0.5,1.63,0.42803999999999998,2.4371999999999998,0.12313,0.80100000000000005,0.26665,0.90576999999999996,0.32086999999999999,0.65600000000000003,0.27599000000000001,1.1435200000000001,0.44063999999999998,0.65835999999999995,,0.6,0.55000000000000004,0.6,1.4,0.7,1.9707300000000001,1.60056,0.94091999999999998,2.0076200000000002,1.5,1.2474000000000001,0.84338999999999997,1.0286999999999999,0.57069000000000003,0.60743000000000003,0.72089999999999999,2.2000000000000002,1.27,0.9,0.81935999999999998,1.0588900000000001,0.77363999999999999,0.98236999999999997,0.75870000000000004,1.0529900000000001,1.05619,0.67037000000000002,0.80367,0.87641999999999998,1.70855,1.20886,1.0419400000000001,7.7499999999999999E-2,0.76541000000000003,0.13389000000000001,0.92479999999999996,0.76805999999999996
02/24/23 04:00,1.21533,1.2670399999999999,0.26005,0.21870000000000001,0.68142999999999998,1.2,0.5,1.5,0.8,1.1000000000000001,,0.80500000000000005,1.04,0.94,0.48,1.77,0.4617,3.1625999999999999,0.19123000000000001,0.90944999999999998,0.40928999999999999,0.90330999999999995,0.31047999999999998,0.63800000000000001,0.26336999999999999,1.26583,0.44063999999999998,0.85326999999999997,,0.5,0.42,0.5,1.7,0.8,2.6344599999999998,1.3773599999999999,0.96684000000000003,1.0583899999999999,1.7,1.3656600000000001,0.80208000000000002,1.1025100000000001,0.68769000000000002,0.56513000000000002,0.71874000000000005,2.2999999999999998,1.57,1.1000000000000001,0.79442999999999997,1.1105499999999999,0.74870999999999999,1.2003999999999999,0.75600000000000001,1.3103100000000001,1.70106,0.76131000000000004,0.95816000000000001,1.4293800000000001,1.63046,1.53959,1.17605,0.08,0.73353000000000002,0.13694000000000001,1.10555,0.86219999999999997
02/24/23 05:00,0.85240000000000005,1.8977200000000001,0.52654000000000001,0.25019999999999998,1.1498200000000001,1.1000000000000001,0.7,1.2,0.8,1.6,1.02,1.0349999999999999,1.52,1.32,0.54,1.65,0.51651000000000002,3.0112199999999998,0.21476999999999999,0.94320000000000004,0.27899000000000002,0.87487000000000004,0.29804000000000003,0.64900000000000002,0.27388000000000001,1.1120099999999999,0.42564999999999997,0.73128000000000004,,1.5,0.44,0.6,1.8,1,2.1246800000000001,3.11652,1.13856,1.0330600000000001,1.77,1.8889199999999999,0.96218999999999999,1.24865,0.78722999999999999,1.2373700000000001,0.77759999999999996,2.6,1.67,1.7,0.88658999999999999,1.40063,0.83474999999999999,1.17761,0.87075000000000002,0.90727999999999998,3.1520700000000001,0.64273999999999998,0.68525000000000003,1.51902,1.6596500000000001,1.65781,1.2572099999999999,0.08,0.71299000000000001,0.14882999999999999,1.34276,0.81755999999999995
02/24/23 06:00,0.89529000000000003,1.5992999999999999,0.51988999999999996,0.40589999999999998,0.57072000000000001,1.3,0.9,1.2,1.2,3.4,,1.1499999999999999,1.47,1.17,0.56999999999999995,2.2400000000000002,0.59750999999999999,3.5792999999999999,0.28243000000000001,0.92205000000000004,0.25319999999999998,0.84587000000000001,0.33391999999999999,0.65,0.52356999999999998,,0.44156000000000001,0.82648999999999995,,0.9,0.64,0.8,1.7,0.6,2.9929800000000002,3.5915400000000002,1.16448,1.2618799999999999,1.54,2.1789000000000001,1.03959,1.58229,0.67815000000000003,1.34701,0.89063999999999999,2.6,1.21,2.7,0.91781999999999997,1.8843799999999999,1.06857,1.1180000000000001,0.999,1.32887,2.5314299999999998,0.67283000000000004,0.57862000000000002,1.4889600000000001,1.65791,1.1313599999999999,1.7875399999999999,0.08,0.66461999999999999,0.15168999999999999,1.21008,0.87480000000000002
02/24/23 07:00,1.8001199999999999,2.2953199999999998,0.29508000000000001,0.31409999999999999,0.80118,1.3,1.1000000000000001,1.5,2.2000000000000002,6.4,2.69,1.2649999999999999,1.7,1.56,0.65,3.96,0.70281000000000005,3.2828400000000002,0.38558999999999999,1.0345500000000001,0.49562,0.90451999999999999,0.6321,0.72699999999999998,0.72114,1.7009799999999999,0.50765000000000005,1.07355,,1,1.51,1.1000000000000001,1.2,0.6,2.8686699999999998,9.26586,1.4706600000000001,5.6691799999999999,1.27,2.5434000000000001,1.0956600000000001,1.68218,0.87992999999999999,1.62154,0.90720000000000001,2.6,1.4,1.5,0.89973000000000003,1.4874000000000001,1.8081,1.1145700000000001,1.1434500000000001,1.43516,4.0322899999999997,0.83426,0.96489999999999998,1.48716,1.6843300000000001,0.92996000000000001,2.2075399999999998,0.11439000000000001,0.67510999999999999,0.19564000000000001,1.1102300000000001,0.95382
02/24/23 08:00,2.0677699999999999,2.5097,0.84145999999999999,0.32940000000000003,0.79312000000000005,1.2,1,1.8,1.8,9.5,,1.38,1.9,1.52,0.62,5.35,0.67544999999999999,2.7599399999999998,0.26717999999999997,0.85050000000000003,0.22550999999999999,1.06396,0.62102000000000002,0.89500000000000002,1.7416199999999999,1.82104,0.56425999999999998,1.15202,,1.1000000000000001,3.16,1.5,1.6,0.8,3.2614800000000002,14.753299999999999,1.78494,7.0458999999999996,1.1200000000000001,1.80792,1.0044,1.64954,0.92042999999999997,1.6015200000000001,0.91773000000000005,2.8,1.67,1.1000000000000001,0.91341000000000006,5.0006500000000003,2.0521799999999999,1.08893,0.89505000000000001,1.5245500000000001,8.1533099999999994,1.5687500000000001,0.66703999999999997,2.0941200000000002,1.6706300000000001,0.75917000000000001,1.71092,7.0000000000000007E-2,1.06646,0.23472000000000001,0.89180999999999999,0.95247000000000004
02/24/23 09:00,0.80335999999999996,1.6440300000000001,2.0598000000000001,0.36720000000000003,0.49741999999999997,1.3,0.9,1.7,1.7,5.5,,1.1499999999999999,2.2400000000000002,2.5499999999999998,0.7,3.19,0.65547,1.6664399999999999,0.16805999999999999,0.86445000000000005,0.21209,1.19696,0.44877,0.77400000000000002,0.48787999999999998,2.0220099999999999,0.59089000000000003,0.96348999999999996,,1.5,2.64,1.7,1.7,0.9,2.96285,11.371,2.19156,5.4347399999999997,0.91,1.69614,0.92159999999999997,1.3525400000000001,1.11924,0.55642999999999998,1.08378,2.9,1.73,4,0.80567999999999995,3.92408,5.6111399999999998,0.80206,0.86939999999999995,1.86006,5.3770100000000003,0.86658000000000002,1.0320400000000001,1.5406200000000001,1.68628,0.71228999999999998,1.5860300000000001,7.4999999999999997E-2,1.48932,0.21021999999999999,0.91961000000000004,0.94445999999999997
02/24/23 10:00,0.79161999999999999,1.4297800000000001,1.2036100000000001,0.252,0.50414000000000003,1,0.7,1.3,1.4,3.5,1.29,1.0349999999999999,1.6,1.41,0.74,2.56,0.60812999999999995,3.1570200000000002,0.14641999999999999,0.88290000000000002,0.17229,1.26044,0.43667,0.79700000000000004,1.2655400000000001,2.4910899999999998,0.56884999999999997,1.0823199999999999,,2.5,2.64,1.4,1.8,1.1000000000000001,3.8709199999999999,9.1618200000000005,1.8837600000000001,6.4038300000000001,0.61,1.5730200000000001,0.9,1.24956,0.98973,0.50382000000000005,0.92771999999999999,2.8,1.39,3.6,0.75266999999999995,2.0693299999999999,5.2936199999999998,0.97950999999999999,1.2339,4.8346900000000002,6.9889999999999999,0.84494999999999998,2.1391300000000002,1.6356599999999999,1.6431100000000001,0.84536999999999995,1.6002700000000001,0.13,1.48282,0.20225000000000001,0.86134999999999995,0.74385000000000001
02/24/23 11:00,0.76871999999999996,1.0602199999999999,0.61165000000000003,0.29880000000000001,0.50853000000000004,0.9,1.1000000000000001,1.1000000000000001,1,2.6,,1.0349999999999999,1.45,1.33,0.56999999999999995,3.84,0.60624,2.7172800000000001,0.15739,0.89910000000000001,0.15606,1.3368199999999999,0.46444000000000002,0.86,0.77285999999999999,3.0203799999999998,,1.1522399999999999,,3.7,1.89,1.4,2.2000000000000002,1.1000000000000001,7.18391,4.2812999999999999,1.20624,5.38978,0.41,1.5973200000000001,0.93149999999999999,1.31158,0.73934999999999995,0.46744000000000002,0.84753000000000001,2.8,1.81,3,0.67608000000000001,1.48793,3.2413500000000002,1.95957,0.66825000000000001,2.4787300000000001,5.5366499999999998,0.52566000000000002,2.2109899999999998,1.1907000000000001,1.6151500000000001,0.74590000000000001,1.75522,0.17616999999999999,1.4425300000000001,0.22158,0.88597000000000004,0.75815999999999995
02/25/23 12:00,0.59801000000000004,0.93279999999999996,0.16278999999999999,0.29249999999999998,0.53008999999999995,0.8,0.6,0.9,0.7,1.6,,1.0349999999999999,1.48,0.97,0.54,2.39,0.59255999999999998,2.5828199999999999,0.13375999999999999,0.9909,0.14888000000000001,1.35873,0.40445999999999999,0.77500000000000002,1.8973599999999999,2.1655600000000002,0.48991000000000001,1.0018899999999999,,4.5999999999999996,1.87,1.4,2.5,1,6.2620500000000003,1.8748800000000001,1.05738,1.7889299999999999,0.56999999999999995,1.6669799999999999,1.2806999999999999,1.11182,0.60677999999999999,0.72233999999999998,0.81215999999999999,2.7,1.75,2.5,0.66915000000000002,0.68971000000000005,1.6978500000000001,1.9225000000000001,0.71270999999999995,0.72433000000000003,1.90635,0.46586,0.90605000000000002,0.87749999999999995,1.59768,0.80662,1.8355600000000001,7.0000000000000007E-2,1.4879500000000001,0.21303,0.87124999999999997,0.67976999999999999
02/25/23 01:00,0.56230999999999998,0.85024999999999995,0.18273,0.20519999999999999,0.49398999999999998,0.7,0.7,0.9,0.7,1.3,0.5,1.1499999999999999,1.69,0.75,0.53,1.1299999999999999,0.51282000000000005,3.3829199999999999,0.13961999999999999,0.97065000000000001,0.14451,1.06385,0.25301000000000001,0.38800000000000001,0.55906,0.74536000000000002,0.36812,0.61563000000000001,,3.8,1.32,1,2.9,1,2.0775100000000002,1.2411000000000001,1.0238100000000001,0.61551,0.92,1.3008599999999999,0.8901,1.0129699999999999,0.57069000000000003,0.39550999999999997,0.80603999999999998,2.8,1.73,1.6,0.72836999999999996,0.71704000000000001,0.73836000000000002,1.67767,1.0243800000000001,0.59891000000000005,1.09301,0.41299999999999998,1.5691200000000001,0.66581999999999997,1.56911,0.95413999999999999,1.6959599999999999,0.113,1.2836799999999999,0.18393999999999999,0.87914999999999999,0.71216999999999997
02/25/23 02:00,0.51741999999999999,0.82764000000000004,0.14235,0.18540000000000001,0.62363999999999997,0.7,0.3,0.9,0.7,1.2,0.46,1.0349999999999999,1.63,0.64,0.48,0.77,0.42246,2.8551600000000001,0.13014000000000001,0.93689999999999996,0.13483999999999999,0.80027000000000004,0.23880999999999999,0.35,0.42760999999999999,0.61341999999999997,0.35250999999999999,0.91703999999999997,,2.1,0.68,0.8,4.7,0.7,2.0131600000000001,1.53288,1.0867199999999999,0.65849000000000002,0.5,0.83106000000000002,0.8649,0.99528000000000005,0.55818000000000001,0.35964000000000002,0.72306000000000004,2.4,1.01,0.9,0.69228000000000001,1.2391700000000001,0.63990000000000002,1.7796799999999999,0.91439999999999999,0.67079999999999995,1.31097,0.37343999999999999,0.70955000000000001,0.51893999999999996,1.5388900000000001,0.87865000000000004,1.69737,7.0000000000000007E-2,1.10545,0.17763999999999999,0.83691000000000004,0.49734
02/25/23 03:00,0.48573,0.75275999999999998,0.24107999999999999,0.17100000000000001,0.47964000000000001,0.7,0.3,1.3,0.7,1.2,0.4,0.80500000000000005,1.22,0.61,0.48,1.07,0.36575999999999997,3.1221000000000001,0.11792999999999999,0.85185,0.12570999999999999,0.58503000000000005,0.19941999999999999,0.26200000000000001,0.40038000000000001,0.63924999999999998,0.30354999999999999,0.69991000000000003,,1.3,0.72,0.8,1.2,0.5,2.6465900000000002,1.30644,0.86046,0.78539999999999999,0.47,0.95742000000000005,0.76346999999999998,0.94242999999999999,0.55079999999999996,0.25402999999999998,0.66932999999999998,2.1,0.84,0.9,0.57699,1.9091100000000001,0.70821000000000001,0.95718999999999999,0.76248000000000005,0.87060000000000004,1.41459,0.89368000000000003,0.54159000000000002,0.37314000000000003,1.4921599999999999,0.87285000000000001,1.6919500000000001,7.0000000000000007E-2,0.91215999999999997,0.16339000000000001,0.74446000000000001,0.42443999999999998
